date,Supplemntal Nutrition Assistance Program,Food bank,Electronic Benefit Transfer
2018-01-01,28.0,23.0,0.0
2018-02-01,8.0,0.0,44.0
2018-03-01,34.0,0.0,0.0
2018-04-01,33.0,40.5,46.0
2018-05-01,15.0,78.0,0.0
2018-06-01,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0
2018-08-01,0.0,27.0,0.0
2018-09-01,0.0,0.0,0.0
2018-10-01,24.0,0.0,46.0
2018-11-01,0.0,0.0,0.0
2018-12-01,33.0,0.0,0.0
2019-01-01,65.93,0.0,0.0
2019-02-01,0.0,0.0,0.0
2019-03-01,15.38,29.31,0.0
2019-04-01,16.48,0.0,0.0
2019-05-01,29.67,0.0,0.0
2019-06-01,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0
2019-08-01,30.77,0.0,0.0
2019-09-01,23.63,24.14,72.58
2019-10-01,19.78,0.0,0.0
2019-11-01,28.57,0.0,0.0
2019-12-01,0.0,0.0,0.0
2020-01-01,27.47,0.0,0.0
2020-02-01,24.04,0.0,0.0
2020-03-01,40.06,36.0,0.0
2020-04-01,60.67,0.0,0.0
2020-05-01,69.83,0.0,53.76
2020-06-01,68.68,0.0,274.19
2020-07-01,46.93,0.0,59.14
2020-08-01,46.93,16.0,26.88
2020-09-01,28.62,0.0,0.0
2020-10-01,48.08,0.0,37.63
2020-11-01,18.32,14.5,0.0
2020-12-01,48.08,19.0,59.08
2021-01-01,38.16,10.0,59.08
2021-02-01,74.07,14.5,35.45
2021-03-01,42.65,0.0,29.54
2021-04-01,47.13,0.0,47.26
2021-05-01,53.87,0.0,70.9
2021-06-01,74.07,0.0,159.52
2021-07-01,40.4,0.0,76.8
2021-08-01,65.09,0.0,94.53
2021-09-01,67.33,12.0,129.98
2021-10-01,42.65,0.0,70.9
2021-11-01,40.4,0.0,64.99
2021-12-01,20.0,0.0,8.0
2022-01-01,17.0,0.0,8.0
2022-02-01,23.0,0.0,0.0
2022-03-01,24.0,17.05,5.0
2022-04-01,17.0,0.0,12.0
2022-05-01,35.0,0.0,7.0
2022-06-01,36.0,0.0,7.0
2022-07-01,29.0,0.0,12.0
2022-08-01,24.0,0.0,11.0
2022-09-01,18.0,15.16,0.0
2022-10-01,20.0,11.37,15.0
2022-11-01,27.0,10.74,16.0
2022-12-01,21.0,10.74,30.0
2023-01-01,25.0,0.0,0.0
2023-02-01,16.0,4.64,3.5
2023-03-01,9.0,0.0,0.0
2023-04-01,15.0,0.0,0.0
2023-05-01,13.0,4.64,5.0
2023-06-01,24.0,4.95,5.0
2023-07-01,29.0,0.0,5.0
2023-08-01,15.0,3.71,5.0
2023-09-01,18.0,0.0,7.0
2023-10-01,10.0,0.0,0.0
2023-11-01,9.0,7.43,0.0
2023-12-01,9.0,0.0,6.0
2024-01-01,12.0,0.0,0.0
2024-02-01,22.0,0.0,7.0
