date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,Electronic Benefit Transfer
2018-01-01,33.0,47.0,0.0,0.0
2018-02-01,34.0,0.0,0.0,0.0
2018-03-01,14.0,48.0,37.0,0.0
2018-04-01,21.0,14.5,0.0,0.0
2018-05-01,21.0,29.0,0.0,0.0
2018-06-01,34.0,0.0,0.0,0.0
2018-07-01,40.0,0.0,0.0,0.0
2018-08-01,39.0,40.0,0.0,0.0
2018-09-01,36.0,0.0,0.0,0.0
2018-10-01,18.0,28.0,0.0,0.0
2018-11-01,13.0,38.0,0.0,0.0
2018-12-01,24.0,0.0,0.0,36.0
2019-01-01,46.46,0.0,0.0,22.0
2019-02-01,35.86,0.0,0.0,0.0
2019-03-01,29.29,0.0,0.0,0.0
2019-04-01,31.31,25.0,0.0,0.0
2019-05-01,28.28,0.0,0.0,0.0
2019-06-01,31.31,40.0,0.0,0.0
2019-07-01,36.36,35.0,0.0,0.0
2019-08-01,27.27,0.0,0.0,37.0
2019-09-01,26.77,27.0,15.31,0.0
2019-10-01,25.25,24.0,0.0,23.0
2019-11-01,31.31,20.0,0.0,0.0
2019-12-01,39.39,33.0,0.0,32.61
2020-01-01,31.5,0.0,0.0,19.57
2020-02-01,18.46,0.0,0.0,0.0
2020-03-01,61.91,44.0,0.0,0.0
2020-04-01,71.68,44.0,0.0,0.0
2020-05-01,80.37,17.33,0.0,56.52
2020-06-01,68.43,0.0,0.0,189.13
2020-07-01,57.56,22.67,0.0,108.7
2020-08-01,44.53,30.67,0.0,43.48
2020-09-01,68.43,30.67,0.0,0.0
2020-10-01,55.39,26.67,0.0,26.09
2020-11-01,31.5,57.33,0.0,0.0
2020-12-01,67.02,57.33,0.0,32.61
2021-01-01,62.39,21.0,0.0,29.38
2021-02-01,62.39,16.5,0.0,61.69
2021-03-01,43.91,0.0,0.0,29.38
2021-04-01,48.53,0.0,0.0,47.0
2021-05-01,83.19,0.0,17.0,94.01
2021-06-01,83.19,19.0,0.0,164.51
2021-07-01,80.88,0.0,0.0,88.13
2021-08-01,69.33,0.0,0.0,117.51
2021-09-01,71.64,0.0,0.0,35.25
2021-10-01,57.77,0.0,0.0,35.25
2021-11-01,76.26,29.0,0.0,47.0
2021-12-01,36.0,0.0,0.0,64.63
2022-01-01,32.0,0.0,0.0,10.0
2022-02-01,18.5,21.0,7.05,6.0
2022-03-01,22.0,22.0,16.04,6.0
2022-04-01,31.0,23.0,0.0,13.0
2022-05-01,38.0,30.0,0.0,11.0
2022-06-01,38.0,24.0,0.0,16.0
2022-07-01,36.0,23.0,0.0,11.0
2022-08-01,32.0,42.0,0.0,6.0
2022-09-01,30.0,19.0,0.0,11.0
2022-10-01,30.0,25.0,0.0,9.0
2022-11-01,33.0,30.0,17.99,11.0
2022-12-01,23.0,21.0,0.0,23.0
2023-01-01,25.0,0.0,0.0,13.0
2023-02-01,18.0,43.41,0.0,11.0
2023-03-01,27.0,105.43,0.0,6.0
2023-04-01,27.0,86.82,0.0,6.0
2023-05-01,26.0,142.64,0.0,8.0
2023-06-01,26.0,111.63,0.0,6.0
2023-07-01,21.0,105.43,0.0,7.0
2023-08-01,31.0,114.73,0.0,10.0
2023-09-01,25.0,111.63,0.0,4.0
2023-10-01,25.0,117.83,0.0,4.0
2023-11-01,24.0,139.53,0.0,3.0
2023-12-01,23.0,114.73,0.0,7.0
2024-01-01,29.0,93.02,0.0,4.0
2024-02-01,28.0,127.13,0.0,5.0
